EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Denise,Coleman,DCOLEMAN,"515.165.5625",AD_PRES,24000.0,,,90
101,Megan,Ellis,MELLIS,"515.162.7261",AD_VP,17000.0,,100,90
102,Christian,Snyder,,"515.186.6741",AD_VP,17000.0,,100,90
103,Louis,Ray,LRAY,"515.152.7802",AD_VP,17000.0,,100,90
104,Debra,Gonzales,DGONZALE,"515.152.6472",AD_VP,17000.0,,100,90
105,Jeffrey,Hunter,JHUNTER,"515.169.2908",MK_MAN,13000.0,,101,20
106,Douglas,Urman,DURMAN,"515.137.1493",PU_MAN,11000.0,,101,30
107,Joseph,Gutierrez,JGUTIERR,"650.157.4269",ST_MAN,7519.0,,101,50
108,Sarah,Owens,SOWENS,"650.123.9218",ST_MAN,,,102,50
109,John,West,,"650.129.6556",ST_MAN,7160.0,,103,50
110,,Mallin,TMALLIN,"650.122.5202",ST_MAN,6402.0,,104,50
111,George,Turner,GTURNER,"650.157.5466",ST_MAN,6898.0,,101,50
112,Denise,Mourgos,DMOURGOS,"650.120.3078",ST_MAN,7600.0,,102,50
113,Henry,Parker,HPARKER,"650.158.9611",SA_MAN,10919.0,,101,80
114,Nicole,Kochhar,NKOCHHAR,"650.174.8793",SA_MAN,13581.0,,102,80
115,Linda,James,LJAMES,"650.153.7331",SA_MAN,10781.0,,103,80
116,Shirley,Davies,SDAVIES,"650.197.9004",SA_MAN,10612.0,,104,80
117,Matthew,Rogers,MROGERS,"650.167.5012",SA_MAN,12147.0,,101,80
118,Dorothy,Tucker,DTUCKER,"650.121.3624",SA_MAN,13312.0,,102,80
119,Nathan,Nguyen,NNGUYEN,"650.166.1916",SA_MAN,13696.0,,103,80
120,Margaret,Alvarez,MALVAREZ,"650.142.8152",SA_MAN,11909.0,,104,80
121,Sara,Harrison,SHARRISO,"515.122.3060",FI_MGR,12008.0,,101,100
122,Richard,Johnston,RJOHNSTO,"515.159.5041",AC_MGR,12008.0,,101,110
123,Heather,Murphy,HMURPHY,"515.137.5649",AD_ASST,4400.0,,104,10
124,Christian,Robinson,CROBINSO,"515.187.5400",AD_ASST,4400.0,,123,
125,Roy,Morris,,,AD_ASST,4400.0,,123,10
126,Lisa,Hayes,LHAYES,"515.183.3173",AD_ASST,4400.0,,123,10
127,Samuel,Reynolds,SREYNOLD,"515.142.1623",AD_ASST,4400.0,,123,10
128,Larry,Guerrero,LGUERRER,"515.155.5171",AD_ASST,4400.0,,123,10
129,Kimberly,Ward,KWARD,"515.178.1983",AD_ASST,4400.0,,123,10
130,Benjamin,Spencer,BSPENCER,"515.189.6282",AD_ASST,4400.0,,123,10
131,Christopher,Lee,CLEE,"515.129.8976",AD_ASST,4400.0,,,10
132,Adam,James,AJAMES,"515.177.4252",AD_ASST,4400.0,,123,10
133,Emily,Livingston,ELIVINGS,"515.187.9610",MK_REP,8645.0,,105,20
134,Robert,Seo,RSEO,"515.150.6647",MK_REP,6631.0,,105,20
135,Catherine,Ruiz,CRUIZ,"515.122.1225",MK_REP,7105.0,,105,20
136,Albert,Vargas,AVARGAS,"515.155.1750",MK_REP,6611.0,,105,20
137,Cheryl,Bissot,CBISSOT,"515.178.6020",MK_REP,8409.0,,105,20
138,Julia,Matos,JMATOS,"515.196.8855",MK_REP,8496.0,,105,20
139,Karen,Hall,KHALL,"515.127.4016",MK_REP,6421.0,,105,20
140,,Anderson,KANDERSO,,MK_REP,6668.0,,,20
141,Judith,Holmes,JHOLMES,"515.154.9206",MK_REP,7809.0,,105,20
142,Raymond,Kelley,RKELLEY,"515.186.9827",MK_REP,7870.0,,105,20
143,Barbara,Cunningham,BCUNNING,,MK_REP,6526.0,,105,20
144,Brandon,Scott,BSCOTT,"515.167.2791",MK_REP,8697.0,,105,20
145,Lisa,Diaz,LDIAZ,"515.134.2651",MK_REP,7928.0,,105,20
146,Ryan,Hansen,RHANSEN,"515.186.2052",MK_REP,8051.0,,105,20
147,Daniel,Perkins,DPERKINS,"515.183.9947",MK_REP,8752.0,,105,20
148,Alice,Alvarez,AALVAREZ,"515.186.3849",MK_REP,7770.0,,105,20
149,Sandra,Stone,SSTONE,"515.174.9000",MK_REP,6259.0,,105,20
150,Peter,Maldonado,PMALDONA,"515.165.5593",MK_REP,7282.0,,105,20
151,Julie,Williams,JWILLIAM,"515.127.6053",MK_REP,,,105,20
152,Brandon,Weaver,BWEAVER,"515.130.5492",MK_REP,8381.0,,105,20
